"Story","Title","Result","Date","Stability","Duration (s)"
"Business Activities","The business activity risk factor for an established business","SUCCESS","2018-10-14T21:36:09.433+05:30[Asia/Kolkata]","0.0","0.02"
"Business Activities","Businesses established less than 2 years ago are considered higher risk","SUCCESS","2018-10-14T21:36:09.483+05:30[Asia/Kolkata]","0.0","0.01"
"Country risk ratings","Each country has a risk rating based on anti-money-laundering and anti-corruption considerations","SUCCESS","2018-10-14T21:36:09.535+05:30[Asia/Kolkata]","0.0","0.04"
"Country risk ratings","Countries are categorised as low, medium and high risk based on their risk rating","SUCCESS","2018-10-14T21:36:09.605+05:30[Asia/Kolkata]","0.0","0.01"
"Country risk ratings","Overall customer risk is based on country of origin and country of domicile","SUCCESS","2018-10-14T21:36:09.651+05:30[Asia/Kolkata]","0.0","0.03"
