"Story","Title","Result","Date","Stability","Duration (s)"
"Monitoring suspicious cash transactions","Large cash transactions","SUCCESS","2018-10-14T21:36:09.749+05:30[Asia/Kolkata]","0.0","0.08"
"Monitoring suspicious cash transactions","Many small cash transactions","SUCCESS","2018-10-14T21:36:09.826+05:30[Asia/Kolkata]","0.0","0.0"
"Monitoring suspicious cash transactions","Many small cash transactions that are in the customer's normal usage patterns","SUCCESS","2018-10-14T21:36:09.831+05:30[Asia/Kolkata]","0.0","0.0"
