"Story","Title","Result","Date","Stability","Duration (s)"
"Business Activities","The business activity risk factor for an industry","ERROR","2018-10-14T01:32:23.509+05:30[Asia/Kolkata]","0.0","2.19"
"Business Activities","An example of a high risk business","PENDING","2018-10-14T01:32:32.415+05:30[Asia/Kolkata]","0.0","0.01"
"Business Activities","A few more examples of a high risk businesses","PENDING","2018-10-14T01:32:32.428+05:30[Asia/Kolkata]","0.0","0.03"
"Business Activities","The business activity risk factor for an established business","SUCCESS","2018-10-14T01:32:32.57+05:30[Asia/Kolkata]","0.0","0.04"
"Business Activities","Businesses established less than 2 years ago are considered higher risk","SUCCESS","2018-10-14T01:32:32.717+05:30[Asia/Kolkata]","0.0","0.03"
"Country risk ratings","Each country has a risk rating based on anti-money-laundering and anti-corruption considerations","SUCCESS","2018-10-14T01:32:32.838+05:30[Asia/Kolkata]","0.0","0.15"
"Country risk ratings","Countries are categorised as low, medium and high risk based on their risk rating","SUCCESS","2018-10-14T01:32:33.179+05:30[Asia/Kolkata]","0.0","0.03"
"Country risk ratings","Overall customer risk is based on country of origin and country of domicile","SUCCESS","2018-10-14T01:32:33.313+05:30[Asia/Kolkata]","0.0","0.16"
