"Story","Title","Result","Date","Stability","Duration (s)"
"Positions acquisition","Handling corrupt input data","PENDING","2018-10-14T00:49:33.321+05:30[Asia/Kolkata]","0.0","0.17"
"Business Activities","An example of a high risk business","PENDING","2018-10-14T00:49:34.452+05:30[Asia/Kolkata]","0.0","0.01"
"Business Activities","A few more examples of a high risk businesses","PENDING","2018-10-14T00:49:34.459+05:30[Asia/Kolkata]","0.0","0.02"
"Monitoring new customers","Monitoring a new low risk customer","PENDING","2018-10-14T00:49:34.878+05:30[Asia/Kolkata]","0.0","0.01"
